metric,.by,age_months
richness,sex,21
richness,sex,24
richness,sex,27
richness,delivery_mode,15
richness,delivery_mode,18
richness,delivery_mode,21
richness,delivery_mode,24
shannon,delivery_mode,18
shannon,delivery_mode,21
shannon,delivery_mode,24
velocity.phf,sex,5
velocity.phf,delivery_mode,8
velocity.votu,sex,5
velocity.votu,delivery_mode,8
dispersion.phf,sex,6
dispersion.phf,sex,9
dispersion.phf,sex,12
dispersion.phf,sex,15
dispersion.phf,sex,18
dispersion.phf,sex,21
dispersion.phf,delivery_mode,9
temperate.abund,delivery_mode,0